instance,seed,operator,selected_count,improved_count,not_improved_count,success_rate,final_score,final_probability,best_min_time_minutes,runtime_seconds,iterations
mbB101,1,N10,80,15,65,0.1875,0.3000,0.0033,134.0160,38.7919,6557
mbB101,1,N11,83,12,71,0.1446,0.1000,0.0011,134.0160,38.7919,6557
mbB101,1,N12,93,18,75,0.1935,0.1000,0.0011,134.0160,38.7919,6557
mbB101,1,N13,8939,3266,5673,0.3654,88.0000,0.9778,134.0160,38.7919,6557
mbB101,1,N14,111,20,91,0.1802,0.2000,0.0022,134.0160,38.7919,6557
mbB101,1,N15,63,0,63,0.0000,0.1000,0.0011,134.0160,38.7919,6557
mbB101,1,N16,86,13,73,0.1512,0.1000,0.0011,134.0160,38.7919,6557
mbB101,1,N1,89,11,78,0.1236,0.1000,0.0011,134.0160,38.7919,6557
mbB101,1,N2,63,4,59,0.0635,0.1000,0.0011,134.0160,38.7919,6557
mbB101,1,N3,57,1,56,0.0175,0.1000,0.0011,134.0160,38.7919,6557
mbB101,1,N4,114,27,87,0.2368,0.1000,0.0011,134.0160,38.7919,6557
mbB101,1,N5,156,42,114,0.2692,0.1000,0.0011,134.0160,38.7919,6557
mbB101,1,N6,207,59,148,0.2850,0.3000,0.0033,134.0160,38.7919,6557
mbB101,1,N7,273,80,193,0.2930,0.1000,0.0011,134.0160,38.7919,6557
mbB101,1,N8,63,0,63,0.0000,0.1000,0.0011,134.0160,38.7919,6557
mbB101,1,N9,171,43,128,0.2515,0.1000,0.0011,134.0160,38.7919,6557
mbB101,2,N10,43,6,37,0.1395,0.1000,0.0007,132.7826,36.7593,6284
mbB101,2,N11,61,14,47,0.2295,0.1000,0.0007,132.7826,36.7593,6284
mbB101,2,N12,41,7,34,0.1707,0.3000,0.0022,132.7826,36.7593,6284
mbB101,2,N13,9579,3640,5939,0.3800,135.1000,0.9861,132.7826,36.7593,6284
mbB101,2,N14,41,6,35,0.1463,0.1000,0.0007,132.7826,36.7593,6284
mbB101,2,N15,37,2,35,0.0541,0.1000,0.0007,132.7826,36.7593,6284
mbB101,2,N16,47,6,41,0.1277,0.1000,0.0007,132.7826,36.7593,6284
mbB101,2,N1,29,3,26,0.1034,0.1000,0.0007,132.7826,36.7593,6284
mbB101,2,N2,29,1,28,0.0345,0.1000,0.0007,132.7826,36.7593,6284
mbB101,2,N3,57,7,50,0.1228,0.1000,0.0007,132.7826,36.7593,6284
mbB101,2,N4,70,17,53,0.2429,0.1000,0.0007,132.7826,36.7593,6284
mbB101,2,N5,159,48,111,0.3019,0.1000,0.0007,132.7826,36.7593,6284
mbB101,2,N6,129,39,90,0.3023,0.3000,0.0022,132.7826,36.7593,6284
mbB101,2,N7,43,6,37,0.1395,0.1000,0.0007,132.7826,36.7593,6284
mbB101,2,N8,35,0,35,0.0000,0.1000,0.0007,132.7826,36.7593,6284
mbB101,2,N9,61,15,46,0.2459,0.1000,0.0007,132.7826,36.7593,6284
mbB101,3,N10,124,31,93,0.2500,1.3000,0.0106,133.9322,30.7621,5206
mbB101,3,N11,87,13,74,0.1494,0.1000,0.0008,133.9322,30.7621,5206
mbB101,3,N12,80,14,66,0.1750,0.1000,0.0008,133.9322,30.7621,5206
mbB101,3,N13,7204,2797,4407,0.3883,119.8000,0.9740,133.9322,30.7621,5206
mbB101,3,N14,108,19,89,0.1759,0.1000,0.0008,133.9322,30.7621,5206
mbB101,3,N15,62,1,61,0.0161,0.2000,0.0016,133.9322,30.7621,5206
mbB101,3,N16,80,7,73,0.0875,0.1000,0.0008,133.9322,30.7621,5206
mbB101,3,N1,65,5,60,0.0769,0.1000,0.0008,133.9322,30.7621,5206
mbB101,3,N2,61,2,59,0.0328,0.1000,0.0008,133.9322,30.7621,5206
mbB101,3,N3,65,4,61,0.0615,0.1000,0.0008,133.9322,30.7621,5206
mbB101,3,N4,118,29,89,0.2458,0.1000,0.0008,133.9322,30.7621,5206
mbB101,3,N5,92,18,74,0.1957,0.1000,0.0008,133.9322,30.7621,5206
mbB101,3,N6,111,26,85,0.2342,0.3000,0.0024,133.9322,30.7621,5206
mbB101,3,N7,191,54,137,0.2827,0.1000,0.0008,133.9322,30.7621,5206
mbB101,3,N8,57,0,57,0.0000,0.1000,0.0008,133.9322,30.7621,5206
mbB101,3,N9,107,26,81,0.2430,0.3000,0.0024,133.9322,30.7621,5206
mbC106,1,N10,227,48,179,0.2115,0.1000,0.0179,304.6695,20.1547,3252
mbC106,1,N11,192,32,160,0.1667,0.1000,0.0179,304.6695,20.1547,3252
mbC106,1,N12,238,51,187,0.2143,0.3000,0.0536,304.6695,20.1547,3252
mbC106,1,N13,348,99,249,0.2845,2.6000,0.4643,304.6695,20.1547,3252
mbC106,1,N14,274,70,204,0.2555,0.1000,0.0179,304.6695,20.1547,3252
mbC106,1,N15,121,0,121,0.0000,0.1000,0.0179,304.6695,20.1547,3252
mbC106,1,N16,147,9,138,0.0612,0.1000,0.0179,304.6695,20.1547,3252
mbC106,1,N1,109,1,108,0.0092,0.1000,0.0179,304.6695,20.1547,3252
mbC106,1,N2,129,3,126,0.0233,0.1000,0.0179,304.6695,20.1547,3252
mbC106,1,N3,154,7,147,0.0455,0.1000,0.0179,304.6695,20.1547,3252
mbC106,1,N4,813,251,562,0.3087,0.7000,0.1250,304.6695,20.1547,3252
mbC106,1,N5,356,97,259,0.2725,0.4000,0.0714,304.6695,20.1547,3252
mbC106,1,N6,617,183,434,0.2966,0.1000,0.0179,304.6695,20.1547,3252
mbC106,1,N7,410,124,286,0.3024,0.5000,0.0893,304.6695,20.1547,3252
mbC106,1,N8,137,0,137,0.0000,0.1000,0.0179,304.6695,20.1547,3252
mbC106,1,N9,255,60,195,0.2353,0.1000,0.0179,304.6695,20.1547,3252
mbC106,2,N10,205,42,163,0.2049,0.1000,0.0130,300.8187,15.4880,2500
mbC106,2,N11,178,33,145,0.1854,0.4000,0.0519,300.8187,15.4880,2500
mbC106,2,N12,245,64,181,0.2612,0.4000,0.0519,300.8187,15.4880,2500
mbC106,2,N13,459,148,311,0.3224,4.2000,0.5455,300.8187,15.4880,2500
mbC106,2,N14,188,32,156,0.1702,0.1000,0.0130,300.8187,15.4880,2500
mbC106,2,N15,119,1,118,0.0084,0.1000,0.0130,300.8187,15.4880,2500
mbC106,2,N16,129,7,122,0.0543,0.1000,0.0130,300.8187,15.4880,2500
mbC106,2,N1,111,3,108,0.0270,0.1000,0.0130,300.8187,15.4880,2500
mbC106,2,N2,113,2,111,0.0177,0.1000,0.0130,300.8187,15.4880,2500
mbC106,2,N3,105,4,101,0.0381,0.1000,0.0130,300.8187,15.4880,2500
mbC106,2,N4,236,61,175,0.2585,1.3000,0.1688,300.8187,15.4880,2500
mbC106,2,N5,215,54,161,0.2512,0.2000,0.0260,300.8187,15.4880,2500
mbC106,2,N6,276,71,205,0.2572,0.1000,0.0130,300.8187,15.4880,2500
mbC106,2,N7,327,89,238,0.2722,0.1000,0.0130,300.8187,15.4880,2500
mbC106,2,N8,114,0,114,0.0000,0.1000,0.0130,300.8187,15.4880,2500
mbC106,2,N9,384,113,271,0.2943,0.2000,0.0260,300.8187,15.4880,2500
mbC106,3,N10,188,30,158,0.1596,0.1000,0.0164,275.1456,15.4258,2500
mbC106,3,N11,165,25,140,0.1515,0.4000,0.0656,275.1456,15.4258,2500
mbC106,3,N12,362,110,252,0.3039,3.3000,0.5410,275.1456,15.4258,2500
mbC106,3,N13,264,60,204,0.2273,0.4000,0.0656,275.1456,15.4258,2500
mbC106,3,N14,210,44,166,0.2095,0.2000,0.0328,275.1456,15.4258,2500
mbC106,3,N15,143,0,143,0.0000,0.1000,0.0164,275.1456,15.4258,2500
mbC106,3,N16,159,12,147,0.0755,0.1000,0.0164,275.1456,15.4258,2500
mbC106,3,N1,143,3,140,0.0210,0.1000,0.0164,275.1456,15.4258,2500
mbC106,3,N2,131,3,128,0.0229,0.1000,0.0164,275.1456,15.4258,2500
mbC106,3,N3,139,4,135,0.0288,0.1000,0.0164,275.1456,15.4258,2500
mbC106,3,N4,260,58,202,0.2231,0.1000,0.0164,275.1456,15.4258,2500
mbC106,3,N5,227,53,174,0.2335,0.5000,0.0820,275.1456,15.4258,2500
mbC106,3,N6,250,59,191,0.2360,0.1000,0.0164,275.1456,15.4258,2500
mbC106,3,N7,217,43,174,0.1982,0.1000,0.0164,275.1456,15.4258,2500
mbC106,3,N8,136,0,136,0.0000,0.1000,0.0164,275.1456,15.4258,2500
mbC106,3,N9,253,63,190,0.2490,0.3000,0.0492,275.1456,15.4258,2500
mbD110,1,N10,226,22,204,0.0973,0.2000,0.1111,374.4793,16.5896,2747
mbD110,1,N11,219,22,197,0.1005,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N12,193,23,170,0.1192,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N13,254,45,209,0.1772,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N14,160,12,148,0.0750,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N15,183,0,183,0.0000,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N16,207,22,185,0.1063,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N1,180,3,177,0.0167,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N2,175,4,171,0.0229,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N3,174,3,171,0.0172,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N4,250,32,218,0.1280,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N5,205,21,184,0.1024,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N6,203,20,183,0.0985,0.2000,0.1111,374.4793,16.5896,2747
mbD110,1,N7,199,18,181,0.0905,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N8,171,0,171,0.0000,0.1000,0.0556,374.4793,16.5896,2747
mbD110,1,N9,201,26,175,0.1294,0.1000,0.0556,374.4793,16.5896,2747
mbD110,2,N10,238,19,219,0.0798,0.1000,0.0625,387.3276,19.3748,3251
