instance,series,seed,best_min_time_minutes,runtime_seconds,iterations,feasible
mbB101,B,1,134.0160,67.2139,6557,True
mbB102,B,1,131.4551,67.4161,6531,True
mbB103,B,1,134.9256,67.9595,6364,True
mbB104,B,1,135.5141,52.4956,5237,True
mbB105,B,1,127.4332,42.2412,4001,True
mbB106,B,1,135.5223,32.5286,3251,True
mbB107,B,1,136.2819,54.7837,5502,True
mbB108,B,1,134.6987,51.1756,4984,True
mbB109,B,1,129.3323,62.2621,5767,True
mbB110,B,1,132.3675,67.9224,6646,True
mbC101,C,1,265.9650,32.7160,3251,True
mbC102,C,1,262.8390,25.4245,2500,True
mbC103,C,1,256.5133,26.5895,2500,True
mbC104,C,1,268.7336,34.1454,3251,True
mbC105,C,1,273.4447,27.4611,2500,True
mbC106,C,1,291.0631,30.3343,2879,True
mbC107,C,1,275.3480,51.8544,5165,True
mbC108,C,1,289.3196,26.8884,2500,True
mbC109,C,1,285.1204,48.6784,4581,True
mbC110,C,1,264.7232,25.4833,2500,True
mbD101,D,1,369.0469,28.1983,2670,True
mbD102,D,1,380.0426,25.9051,2500,True
mbD103,D,1,352.7055,26.5619,2500,True
mbD104,D,1,407.3532,26.9755,2500,True
mbD105,D,1,400.5342,44.7834,4404,True
mbD106,D,1,387.4002,26.5537,2500,True
mbD107,D,1,364.4423,25.1698,2500,True
mbD108,D,1,362.1792,31.3264,3021,True
mbD109,D,1,405.6512,26.3989,2622,True
mbD110,D,1,382.7109,25.2709,2500,True
mbE101,E,1,205.4823,115.7397,3263,True
mbE102,E,1,210.4063,90.0628,2500,True
mbE103,E,1,206.7802,91.3730,2500,True
mbE104,E,1,206.8907,146.1438,4071,True
mbE105,E,1,209.1413,99.0840,2500,True
mbE106,E,1,203.3404,155.5232,4196,True
mbE107,E,1,206.6476,143.2595,3933,True
mbE108,E,1,206.6045,322.9722,9021,True
mbE109,E,1,203.4333,262.1891,6925,True
mbE110,E,1,204.3702,142.6238,3570,True
mbF101,F,1,401.9061,154.1171,3669,True
mbF102,F,1,395.3537,123.8970,3343,True
mbF103,F,1,384.2881,128.4753,3251,True
mbF104,F,1,397.5446,100.4689,2500,True
mbF105,F,1,402.6786,112.5509,2853,True
mbF106,F,1,373.4209,272.0447,6939,True
mbF107,F,1,387.3810,175.5070,4954,True
mbF108,F,1,401.1057,99.5333,2500,True
mbF109,F,1,385.8826,132.5548,3468,True
mbF110,F,1,404.0202,102.5762,2500,True
mbG101,G,1,554.2462,120.3603,3251,True
mbG102,G,1,519.2964,115.5798,2938,True
mbG103,G,1,558.3911,251.1870,7003,True
mbG104,G,1,566.5221,155.3159,3978,True
mbG105,G,1,557.5575,134.8230,3398,True
mbG106,G,1,541.6293,96.7617,2500,True
mbG107,G,1,554.4229,94.5646,2508,True
