instance,min_AHGA,avg_AHGA,avg_TAHGA,runs
mbB101,132.7826,134.5656,1.1154,10
mbB102,128.2182,131.6098,0.9584,10
mbB103,131.2669,133.7876,0.9132,10
mbB104,133.8619,137.5101,0.7456,10
mbB105,126.0215,128.2441,0.7745,10
mbB106,133.8224,137.9428,0.5695,10
mbB107,132.5917,136.1281,0.8890,10
mbB108,130.9758,133.6439,0.8486,10
mbB109,122.4329,127.1535,0.8328,10
mbB110,127.2588,132.0110,0.8548,10
mbC101,249.2515,257.6119,0.8252,10
mbC102,239.5559,255.3112,0.6276,10
mbC103,240.7247,250.2920,0.5597,10
mbC104,256.6786,267.9562,0.5520,10
mbC105,271.8678,284.3933,0.6573,10
mbC106,275.1456,294.7154,0.4850,10
mbC107,273.4638,280.2783,0.7999,10
mbC108,281.3509,290.7530,0.4800,10
mbC109,273.3081,280.4373,0.6541,10
mbC110,264.7232,280.6706,0.5352,10
mbD101,348.0981,369.5401,0.5385,10
mbD102,378.3239,392.4324,0.5525,10
mbD103,342.1687,357.1465,0.5711,10
mbD104,393.3775,405.8073,0.4714,10
mbD105,396.5615,409.3568,0.5601,10
mbD106,368.5864,382.8246,0.5380,10
mbD107,355.7469,379.0383,0.5921,10
mbD108,347.1366,369.4708,0.4738,10
mbD109,392.7242,408.5853,0.5180,10
mbD110,350.3449,385.2220,0.5134,10
mbE101,202.1077,204.6027,2.7667,10
mbE102,206.6837,208.7410,4.0494,10
mbE103,203.2840,205.7646,2.6878,10
mbE104,203.6243,206.1971,2.3460,10
mbE105,200.5902,205.6441,2.7973,10
mbE106,195.4691,202.7021,3.2458,10
mbE107,200.6185,204.5524,2.5555,10
mbE108,203.1908,205.8467,3.7500,10
mbE109,200.9060,203.0081,3.1053,10
mbE110,202.8707,204.3491,2.6049,10
mbF101,385.4764,399.4811,2.5128,10
mbF102,376.6567,396.1078,1.8348,10
mbF103,369.5921,384.7216,2.0475,10
mbF104,380.6387,388.8952,1.7029,10
mbF105,384.4522,397.3814,1.8981,10
mbF106,357.1896,369.0021,2.7179,10
mbF107,373.8082,387.1185,1.8421,10
mbF108,383.3232,390.7671,1.7757,10
mbF109,383.8972,396.3436,1.5972,10
mbF110,377.2728,395.4171,1.9311,10
mbG101,539.4614,553.3830,1.5287,10
mbG102,486.9503,511.0108,1.9363,10
mbG103,547.1279,558.1555,2.0222,10
mbG104,528.2736,554.2762,1.7172,10
mbG105,527.9024,548.5531,1.5488,10
mbG106,541.6293,566.2583,1.5333,10
mbG107,538.7491,558.7952,1.7800,10
mbG108,549.1517,569.4378,1.5998,10
mbG109,551.1030,568.4985,1.6902,10
mbG110,545.5502,561.4917,2.0228,10
